"id","length","mandatory","start","slutt","fart","enveiskjÃ¸rt","sperret"
212379613,68.0248079049032,f,10311,11526,40,,t
146135188,8.12027158475643,f,6411,7196,40,,f
146149233,54.6097236801973,f,11675,21846,30,1,f
146133876,80.4861345355695,f,11014,11007,40,,f
146183945,107.127521092721,f,10116,10115,50,,f
146133552,36.9284947105803,f,8199,11002,40,,f
146133712,82.2005633562693,t,6871,10305,40,1,f
146181220,68.0428130431049,f,173,11152,50,,f
146135185,6.24288707624683,f,2119,6890,40,,f
587955091,84.5396061186469,f,3845,7980,40,-1,f
255035013,29.3250414641895,f,4567,152,50,-1,f
146135195,37.0820407824874,t,6889,6880,40,,f
146133100,33.2746372229548,f,8427,8515,40,1,f
254243501,97.4018433804634,f,8487,7301,50,1,f
276818325,14.1241889323547,f,186,9456,30,,f
146138691,98.3880925906102,t,10305,6908,40,1,f
522201207,32.6917250431192,f,5035,37,50,1,f
146190758,51.4906233342554,f,3356,9472,40,,f
146190759,40.2451283214906,f,9472,3459,40,,f
146138526,7.48943254376202,f,8432,21185,30,,f
212379612,13.6244468568179,f,6893,10311,40,,f
146136315,72.8120282610664,t,6901,9347,40,,f
146136059,26.6404326680772,t,3459,291,40,,f
146195194,49.9699603248227,f,3839,11022,40,-1,f
523405428,7.18977051373564,f,3457,6685,50,,f
146133723,46.8338518693041,f,7271,10300,40,,f
146190761,72.8120904518897,f,11671,21111,40,,f
255035022,11.1088147328929,f,5068,6677,50,-1,f
146183964,73.5483380652895,f,828,750,50,,f
146138050,46.3685191231622,f,2841,11672,40,,f
146138046,29.25731675764,f,3352,6897,40,,f
245778209,9.10167565774951,f,7149,9576,40,,f
146183950,74.7670349808262,f,5710,8199,40,,f
146134492,94.1831877098147,f,7980,3830,40,,f
245435413,13.1212465437106,f,5720,20685,40,-1,f
480919587,5.7277581201159,f,389,10445,50,,f
255035027,32.0912235272758,f,8263,22307,50,1,f
146183954,9.53177704724382,f,3356,12816,50,,f
146193282,150.863954415089,f,7601,150,50,1,f
146194172,27.6352745843485,f,525,11171,40,1,f
146133809,52.6630758782617,t,9739,8517,40,,f
200425263,34.3048885686297,f,9455,20058,40,,f
146133101,65.5412854806159,f,8515,8518,40,1,f
146133548,67.9914947431129,f,8519,8266,30,,f
202478943,65.4675784679404,f,9585,6903,40,,f
146181197,72.1302346018072,f,11711,11258,40,,f
146135177,2.14759700512568,f,6883,6881,40,1,f
146133560,5.83095188692915,f,2779,6884,40,,f
146195471,104.90383442772,f,140,11677,30,,f
146193300,6.12845107213826,f,317,9456,50,1,f
146136131,147.309243208137,f,7539,7524,30,,f
146133572,34.212548970333,f,12809,9650,40,,f
146195464,126.111668628184,f,1053,20158,30,,f
200425259,38.1521910197977,f,8521,9452,40,,f
146138051,32.6451603948653,f,11672,6900,40,,f
146137240,51.1233417130645,f,12054,6902,40,,f
146138660,55.6682450804866,f,10926,22742,40,,f
146132876,49.8374846280702,f,6899,11004,40,1,f
587955083,5.5663452979708,f,10687,7980,40,,f
146194471,78.2315284392293,f,10455,320,50,-1,f
146181211,7.6060351306545,f,5641,3806,50,,f
564309448,19.4395713867541,f,8488,8485,50,1,f
146194454,24.4827889987818,f,9456,10019,50,-1,f
315659647,18.3330302780414,f,173,147,50,,f
480919589,4.10912640610108,f,8275,21610,50,,f
146137958,87.1507119861379,t,6907,6897,40,,f
146138695,35.6229362752698,t,1403,6895,40,1,f
146190772,11.5485938553661,f,11246,6989,40,,f
245435315,10.0791715940062,f,5725,21610,50,,f
146181196,7.06626147593762,f,6360,11711,50,,f
146181574,6.77535987046473,f,6680,6361,50,1,f
146133460,64.9486312867568,t,9446,9347,40,-1,f
245778141,6.34760312049679,f,11673,2211,40,,f
146195472,48.2480128243748,f,11677,146,30,,f
245435345,161.733130543346,f,242,270,50,,f
200425266,58.4570146303982,f,292,20059,40,,f
146151151,152.757794245405,f,426,3806,50,,f
146136133,94.7503701857347,f,12277,20206,30,,f
200425249,31.4236652739036,f,5994,8569,40,,f
146132891,82.7866964350007,t,6879,9581,40,-1,f
146151205,7.87451510931597,f,427,384,50,,f
146136061,40.6619622520026,f,3551,3549,40,,f
146133718,10.5077211208703,t,6492,10282,40,1,f
146183949,33.7857940563364,f,8199,1074,40,,f
146133604,32.7350436464979,f,11005,7227,40,,f
202478935,100.518646101504,f,3838,9655,40,,f
146150528,46.1048502099116,f,8219,21591,30,,f
146135179,17.2736777710425,t,10528,8944,40,,f
146138049,32.0675053676898,f,11702,2841,40,,f
146148822,2.30622577267977,f,145,146,50,,f
146133565,86.2783084060113,t,6872,10250,40,-1,f
146181213,52.1598757646984,f,11510,164,50,,f
522201203,20.0219499401334,f,321,319,50,1,f
522201223,24.9268125652444,f,5620,321,50,1,f
445524753,4.15582723638051,f,326,20064,50,,f
146181215,89.0100694493665,f,163,142,50,,f
200425248,2.48050397813749,f,5994,21111,40,,f
146181575,3.13080249639335,f,6361,4910,50,1,f
245609091,46.6928913477297,t,1762,4684,40,,f
146194472,27.5613406375078,f,320,312,50,-1,f
245435378,3.13694117895506,f,3838,20684,40,1,f
146181580,9.48929154515869,f,11920,5691,50,1,f
146135194,36.5719447498898,t,6887,6889,40,,f
146136051,141.740480901171,t,6879,12640,40,,f
245609090,16.8928769986062,f,12049,8569,40,,t
146133117,40.1124382061242,f,3246,11259,40,-1,f
245778207,41.5487570456569,f,9579,22277,40,,f
146135110,7.80897702345637,f,6877,10309,40,,f
146137613,19.2114421640227,f,12055,21114,40,,f
146133538,58.068390975397,f,6492,11550,40,1,f
254243491,74.6773949944032,f,11014,10118,40,,f
146133553,41.093825044977,f,11002,5686,40,,f
146193280,7.21560808050597,f,3804,20086,50,,f
146137246,42.9844858488014,t,3549,6895,40,,f
146147314,15.1437181509682,f,145,20031,50,,f
146136317,26.3068858389684,t,8526,295,40,,f
146135196,62.4611141440256,t,6880,6886,40,,f
146194455,4.96001845546713,f,10019,318,50,-1,f
146136313,86.1151382870079,t,6876,11702,40,,f
245435317,65.0354314979941,f,8434,21602,50,,f
146181238,5.22857533365299,f,4567,8993,50,,f
146149125,49.3164096057144,f,9653,3832,30,,f
146150398,75.2358710491668,f,384,20074,50,,f
146194468,6.45730592973249,f,3351,10444,50,,f
146135190,48.8629826715387,t,7196,12050,40,,f
146183955,17.1196433728933,f,12816,8195,40,,f
200425265,23.5596116335247,f,292,20058,40,,f
146134940,72.3043767412162,f,8569,9450,40,1,f
245778208,17.5353271852141,f,9584,22277,40,,f
146134503,81.2002562978876,f,6499,6910,40,,f
323096222,13.1172701645795,f,7404,6904,40,,f
146183944,64.8236184170715,f,10115,4114,50,,f
146134494,47.7722962026948,f,5686,5692,40,,f
146133603,36.2307279478517,f,11013,11005,40,,f
146134227,96.7373739603456,f,9652,3829,30,,f
146134198,75.6246658620564,f,3500,22218,30,,f
522201210,17.1242181669835,f,138,4094,50,1,f
146139250,17.3718138335565,f,11020,20418,40,,f
480919586,76.258387882518,f,429,389,50,,f
146190773,81.8133405317361,f,6989,12341,40,,f
146194456,141.810194670676,f,318,324,50,-1,f
323109621,3.48091941736345,f,4097,10116,40,1,f
146150269,13.6033893696908,f,10444,426,50,,f
523405420,37.6738689317148,f,116,20648,50,-1,f
255035014,29.3253569185551,f,4567,152,50,1,f
146195269,27.4197371559241,f,318,320,50,-1,f
146133715,65.6066821779903,t,7376,12640,40,1,f
146133816,58.9992316155009,t,3245,11716,40,,f
146190763,48.3054230370917,f,8569,8284,40,,f
202478936,46.310870023915,f,9655,3836,40,,f
522201205,6.93369018101391,f,111,10024,50,1,f
146135324,65.2107681177894,t,2211,4653,40,,f
522201204,13.8393060217767,f,319,111,50,1,f
323109623,31.6461112994573,f,11157,20461,40,,f
146190750,8.78495404896975,f,3836,8128,40,,f
146181188,9.16066954632639,f,1321,5405,40,,f
146181212,80.8946311595491,f,3806,11510,50,,f
146132703,61.1344964130645,f,11526,21780,40,,f
146133817,18.1539080081899,t,11716,9451,40,,f
146190764,28.9134321480357,f,8284,6901,40,,f
146135492,47.1242225887777,f,3247,9449,40,,f
245778140,65.1567469536527,f,6908,11673,40,,f
146195195,10.2242201671946,f,525,11008,40,-1,f
202478951,63.5777358220197,f,9656,3840,40,1,f
486443053,4.30425371002957,f,327,20065,,,f
146183956,54.916794318177,f,8195,8179,40,,f
146183957,60.173778287115,f,8179,3841,40,,f
146183958,98.479147700833,f,3841,11649,40,,f
146183960,45.7537252434968,f,526,3837,40,,f
146183961,113.880417797049,f,3837,827,40,,f
146183962,251.604450711104,f,827,9160,40,,f
146183963,38.9979759278013,f,9160,828,50,,f
146190771,49.1655104138444,f,6687,11246,40,,f
480919626,14.9628482491171,f,8530,6360,40,,f
146133102,39.2429639465585,f,8518,1321,40,1,f
146133114,68.4064681153117,f,9334,4565,40,-1,f
146133115,47.4262532222749,f,4565,2823,40,-1,f
146133116,68.6969389013034,f,2823,3246,40,-1,f
146135457,10.6810541482065,f,297,293,40,,f
146135458,45.0089178154267,f,293,4486,40,,f
146135460,58.817054210416,f,8427,4565,40,,f
146181187,25.0738709271385,f,7773,1321,40,,f
146181190,33.3420356549741,f,11259,10027,40,,f
146181198,56.0523397314729,f,11258,9334,40,,f
245609098,37.6793131789531,f,9741,9739,40,,t
245626969,80.3293221809135,f,8518,9585,40,,f
146138002,56.1690503518685,f,9450,3247,40,-1,f
146138052,59.2353431784724,f,2842,6894,40,,f
146138472,37.1402773490618,f,10783,2841,40,,f
146138473,66.0673699719811,f,2841,8284,40,,f
146138702,45.6964267457652,f,8526,8516,40,,f
146138703,31.1862501565758,f,8516,9450,40,,f
146132704,86.9122095496288,f,6878,11674,40,-1,f
146135150,75.5998750802324,f,3352,9585,40,,f
146132702,48.2516673500886,f,9081,11526,40,,f
146135174,86.5806296326522,t,9576,2119,40,1,f
146136748,28.7181715522696,f,12054,9578,40,,f
146137742,49.5547177908322,f,3550,7377,40,,f
146137743,52.3645441552989,f,7377,3551,40,,f
146151149,9.11456907437439,f,2134,6004,30,,f
146136771,58.6860628706805,f,6896,21312,40,,f
202478937,14.8049450860574,f,7118,8238,40,,f
146195340,5.90823154328835,f,8485,21663,50,,f
254243490,150.51793089619,f,10118,10116,40,,f
254243495,96.8738187974618,f,10299,3424,50,-1,f
146134493,73.7917336690273,f,3830,5686,40,,f
146136892,55.2740078706372,f,11019,6906,40,,f
146137144,45.2257600412631,f,9128,12472,40,-1,f
146137145,102.502145574076,f,12472,11775,40,-1,f
146136917,131.453982428287,f,9653,11168,40,,f
146138343,109.258667043497,f,3828,5669,40,,f
146150537,82.7551064264217,f,8442,22970,30,,f
146183959,16.9013603268554,f,11649,526,40,,f
146194237,13.5459093993025,f,526,8442,30,1,f
146151173,74.1777139815627,f,8101,22902,30,,f
146133680,116.008351363983,f,4112,10904,30,,f
146151172,49.2456474964542,f,1052,3822,30,,f
101,40,f,21568,11013,40,,f
103,15,f,7301,3424,50,1,f
108,17,f,21312,6892,40,,f
107,15,f,22835,30001,40,,f
106,31,t,30001,2817,40,,f
105,70,t,12640,30001,40,,f
102,48,f,12900,11157,40,,f
146132706,60.6451739433442,f,7669,21843,40,,f
146132708,46.4133502174374,f,289,290,30,1,f
146132709,55.4196544663936,f,290,915,30,1,f
146132814,47.9226703710957,f,8252,9128,40,1,f
146132815,7.15550382078319,f,3072,9059,40,,f
146132816,43.1460642313982,f,9059,12472,40,1,f
146132895,16.5028577638403,f,7582,3838,40,-1,f
146132896,171.460864655139,f,3838,6977,30,-1,f
146132897,107.07054772164,f,6977,1053,30,,f
146133489,16.6545253053914,f,7281,11003,30,,f
146133490,44.057350829542,f,11003,7813,30,,f
146133570,46.969551551188,f,9727,5690,40,,f
146133571,48.2312576064135,f,5690,12809,40,,f
146133573,42.3276973590519,f,9650,3815,40,,f
146133574,45.5122325640955,f,3815,11012,40,,f
146133575,19.7032857700403,f,11012,10926,40,,f
146133576,30.7114347077039,f,10926,11007,40,,f
146133577,7.55113271708989,f,11007,11011,40,,f
146133578,53.7199204154697,f,11011,9640,40,,f
146133676,155.234769839249,f,9651,3822,30,,f
146133677,2.88658079744782,f,3822,3825,30,,f
146133678,46.0777085682835,f,3825,8219,30,,f
146133679,96.3340697045815,f,8219,4112,30,,f
146133681,38.4136016151045,f,10904,7024,30,,f
146133720,29.9424325031709,f,7118,7350,40,,f
146133721,54.0390435852269,f,7350,7227,40,,f
146133722,81.3708194166589,f,7227,7271,40,,f
146133724,55.3464615983097,f,10300,11006,30,,f
146133725,14.9776887963888,f,11006,7281,30,,f
146133726,52.0872848296896,f,7281,11009,30,,f
146133727,29.0777565359963,f,11009,3823,30,,f
146133728,61.4152129019471,f,3823,3500,30,,f
146133729,10.5224143255433,f,3500,3833,30,,f
146133730,73.2573083789885,f,3833,7765,30,,f
146133731,121.422749577312,f,7765,7024,30,,f
146134270,61.5065297382494,f,11008,7813,30,,f
146134271,80.929640846355,f,7813,3827,30,,f
146134426,81.5455031032222,f,9827,289,30,1,f
146134504,56.1926713245346,f,10461,6975,40,,t
146134505,2.58080261171387,f,6975,9640,40,,f
146134506,49.3117799843607,f,9640,3794,40,,f
146134507,2.45348419391192,f,3794,11775,40,,f
146134509,107.744068657622,f,6975,3072,40,1,f
146134510,49.873756605732,f,3072,8252,40,1,f
146134511,106.669844979955,f,8252,11157,40,1,f
146135101,9.89521269308179,f,3825,8101,30,1,f
146135102,88.3955440189328,f,8101,3823,30,1,f
146135103,45.4303086865792,f,3823,3827,30,,f
146135104,35.3873048316032,f,3827,20680,30,,f
146135330,15.8018416856511,f,4387,2809,40,1,f
146135332,16.5838430490661,f,10313,9658,40,1,f
146135353,123.078850610533,f,7669,9581,40,,f
146135742,11.9123038738074,f,9160,12900,40,,f
146137143,105.467526688855,f,12900,9128,40,-1,f
146137146,118.690029179776,f,3794,3837,40,-1,f
146137228,65.3159636351903,f,12525,9827,30,,f
146137230,52.1468094585892,f,12523,12530,30,-1,f
146137768,48.4234764997758,f,5710,8066,40,,f
146137769,38.3464796111371,f,3830,8066,40,,f
146137770,60.6191018093457,f,3830,5690,40,,f
146137771,30.4333741200394,f,5690,914,40,,f
146137772,29.3387339844752,f,914,3841,40,,f
146137917,78.457837579951,f,12530,915,30,-1,f
146137918,109.218102763303,f,915,6977,30,,f
146137919,60.8057402949805,f,6977,6976,30,-1,f
146137920,17.9005555378418,f,6976,8102,30,,f
146137921,122.325832832049,f,8102,7271,30,,f
146138192,10.5343190377477,f,11015,5692,40,,f
146138193,23.3562488825256,f,5692,3815,40,,f
146138194,32.3086055307192,f,3815,5669,40,,f
146138195,19.1084569536047,f,5669,908,40,,f
146138196,7.6070032382407,f,908,526,40,,f
146138656,82.71000758511,f,12523,290,30,1,f
146138666,39.8786060311635,f,10108,7688,30,,f
146149511,95.742494970734,f,7669,22678,30,,f
146151095,110.968827144069,f,4112,10904,30,,f
146194046,70.2024812099914,f,1074,11015,40,1,f
146195082,68.9515545027314,f,1074,11015,40,-1,f
245609093,20.6678891795099,f,9658,7886,40,1,f
245609094,3.40497902290376,f,7886,4387,40,1,f
245609095,3.43332963754159,f,2809,11437,40,1,f
245609096,20.993066653384,f,11437,10313,40,1,f
287665473,122.381081006434,f,7024,8917,30,,f
287665474,5.48364945158819,f,8917,10108,30,,f
323109622,41.0657741953032,f,4097,8252,40,1,t
200425239,2.04707107575732,f,9447,20058,40,1,f
146133835,50.4999376209486,f,365,8211,50,,f
146133836,79.2556588913225,f,8211,8210,50,,f
146133837,166.745611534084,f,8210,369,50,,f
146133838,70.997201288411,f,369,368,50,,f
146133839,34.0828401506771,f,368,3808,50,,f
146133943,44.3947621827831,f,6877,2785,30,,f
146133944,68.2433895256995,f,2785,3546,30,,f
146133945,34.9408971546998,f,3546,9460,30,1,f
146138542,159.673006502081,f,8210,8218,30,,f
146181565,5.25413847073404,f,3804,10451,50,1,f
146181566,7.16346183937654,f,10451,10444,50,1,f
146181567,5.95932566710399,f,10444,427,50,1,f
146181568,9.54820970419284,f,427,432,50,1,f
146181569,6.58127052394227,f,432,10448,50,1,f
146181570,6.54063793233009,f,10448,10450,50,1,f
146181571,8.35117820312453,f,10450,10163,50,1,f
146181572,5.35589661506973,f,10163,10452,50,1,f
146181573,4.89461481905726,f,10452,3804,50,1,f
146193730,18.2693206161619,f,3808,10450,50,1,f
146194804,20.1861436321173,f,3808,432,50,-1,f
146135168,54.3552238027266,f,11959,6877,40,1,f
